"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1198","test_drp_order_flow","testcases","Thu Apr 24 16:09:08 CST 2025","passed","Thu Apr 24 16:09:09 CST 2025","","test_drp_dhsq","",""
"","1","测试 1 + 1","testcases","Thu Apr 24 16:09:03 CST 2025","passed","Thu Apr 24 16:09:03 CST 2025","","test_allure","",""
"","1845","test_drp_order_flow","testcases","Thu Apr 24 16:09:05 CST 2025","passed","Thu Apr 24 16:09:07 CST 2025","","test_drp_dh","",""
"","887","test_get_sum_brand_stock","testcases","Thu Apr 24 16:09:09 CST 2025","passed","Thu Apr 24 16:09:10 CST 2025","","test_login","",""
